[Fri Aug 25 22:33:27.765680 2023] [php:error] [pid 1158] [client ::1:36166] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:27.779954 2023] [php:error] [pid 1046] [client ::1:36182] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:28.810396 2023] [php:error] [pid 1122] [client ::1:36194] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:28.822692 2023] [php:error] [pid 1113] [client ::1:36206] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:29.899430 2023] [php:error] [pid 1192] [client ::1:36214] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:29.912121 2023] [php:error] [pid 979] [client ::1:36218] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:30.986954 2023] [php:error] [pid 1137] [client ::1:36244] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:31.019300 2023] [php:error] [pid 1150] [client ::1:36234] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:32.087443 2023] [php:error] [pid 1317] [client ::1:36252] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:32.117955 2023] [php:error] [pid 1182] [client ::1:36262] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
[Fri Aug 25 22:33:33.137297 2023] [php:error] [pid 1046] [client ::1:36292] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown database 'db_chal' in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php:2\nStack trace:\n#0 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php(2): mysqli_connect()\n#1 /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/admin/xu-ly/sinh-vien/du-lieu-lop.php(2): include_once('...')\n#2 {main}\n  thrown in /mnt/c/Users/Administrator/Documents/GitHub/jp_mirrai/config/config.php on line 2, referer: http://localhost/admin/?menu=quanlysv
